Model,Accuracy,Precision (macro),Recall (macro),F1-score (macro)
PassiveAggressive (Default),0.9672131147540983,0.9807692307692308,0.9090909090909092,0.9401960784313725
NB Bernoulli (Tuned) fit_prior=true,0.9344262295081968,0.8666666666666667,0.96,0.9022435897435898
PassiveAggressive (Tuned),0.9344262295081968,0.8890909090909092,0.8890909090909092,0.8890909090909092
RidgeClassifier (Tuned),0.9344262295081968,0.8890909090909092,0.8890909090909092,0.8890909090909092
RidgeClassifier (Default),0.9344262295081968,0.8890909090909092,0.8890909090909092,0.8890909090909092
SVM (Tuned),0.9344262295081968,0.8890909090909092,0.8890909090909092,0.8890909090909092
LogisticRegression (Default),0.9344262295081968,0.8890909090909092,0.8890909090909092,0.8890909090909092
NB Bernoulli (Tuned) fit_prior=false,0.9180327868852459,0.84375,0.95,0.8810916179337231
XGBoost (Tuned),0.9180327868852459,0.8545918367346939,0.8790909090909091,0.8660518225735617
LogisticRegression (Tuned),0.9180327868852459,0.8705882352941177,0.8436363636363636,0.8561999057048562
NB Multinomial (Tuned) fit_prior=true,0.9016393442622951,0.822463768115942,0.9045454545454545,0.8533653846153846
NB Multinomial (Tuned) fit_prior=false,0.9016393442622951,0.822463768115942,0.9045454545454545,0.8533653846153846
NB Complement (Tuned) fit_prior=false,0.9016393442622951,0.822463768115942,0.9045454545454545,0.8533653846153846
NB Complement (Tuned) fit_prior=true,0.9016393442622951,0.822463768115942,0.9045454545454545,0.8533653846153846
XGBoost (Default),0.9016393442622951,0.8253205128205128,0.8690909090909091,0.8443877551020409
RandomForest (Tuned),0.8688524590163934,0.7781818181818182,0.7781818181818182,0.7781818181818182
NB Bernoulli (Default) fit_prior=true,0.8688524590163934,0.9310344827586207,0.6363636363636364,0.6772486772486772
NB Bernoulli (Default) fit_prior=false,0.8688524590163934,0.9310344827586207,0.6363636363636364,0.6772486772486772
SVM (Default),0.8688524590163934,0.9310344827586207,0.6363636363636364,0.6772486772486772
RandomForest (Default),0.8360655737704918,0.9166666666666667,0.5454545454545454,0.5378787878787878
NB Complement (Default) fit_prior=true,0.819672131147541,0.4098360655737705,0.5,0.45045045045045046
NB Complement (Default) fit_prior=false,0.819672131147541,0.4098360655737705,0.5,0.45045045045045046
NB Multinomial (Default) fit_prior=false,0.819672131147541,0.4098360655737705,0.5,0.45045045045045046
NB Multinomial (Default) fit_prior=true,0.819672131147541,0.4098360655737705,0.5,0.45045045045045046
