model,accuracy,precision_macro,recall_macro,f1_score_macro
xgboost_SMOTE,0.9672,0.9445,0.9445,0.9445
linear_SVC_SMOTE,0.9672,0.9808,0.9091,0.9402
passive_aggressive_SMOTE,0.9672,0.9808,0.9091,0.9402
passive_aggressive_balanced,0.9672,0.9808,0.9091,0.9402
ridge_classifier_SMOTE,0.9672,0.9808,0.9091,0.9402
linear_SVC_balanced,0.9508,0.9304,0.8991,0.9137
passive_aggressive_default,0.9508,0.9304,0.8991,0.9137
xgboost_balanced,0.9344,0.8742,0.9245,0.8963
logistic_regression_balanced,0.9344,0.8891,0.8891,0.8891
ridge_classifier_balanced,0.9344,0.8891,0.8891,0.8891
logistic_regression_SMOTE,0.9344,0.9156,0.8536,0.8804
naive_bayes_complement_default,0.918,0.8546,0.8791,0.8661
naive_bayes_complement_smote,0.918,0.8546,0.8791,0.8661
naive_bayes_multinomial_default,0.918,0.8546,0.8791,0.8661
naive_bayes_multinomial_smote,0.918,0.8546,0.8791,0.8661
xgboost_default,0.9016,0.8253,0.8691,0.8444
linear_SVC_default,0.9016,0.9464,0.7273,0.7842
random_forest_SMOTE,0.8689,0.8375,0.6718,0.7123
naive_bayes_bernoulli_default,0.8689,0.931,0.6364,0.6772
naive_bayes_bernoulli_smote,0.8689,0.931,0.6364,0.6772
ridge_classifier_default,0.8689,0.931,0.6364,0.6772
random_forest_default,0.8525,0.8048,0.6264,0.6579
random_forest_balanced,0.8525,0.9237,0.5909,0.6126
logistic_regression_default,0.8197,0.4098,0.5,0.4505
